"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene"
"Zfp536",9.77147426405307e-23,-0.12091934368821,0.346,0.38,3.10635166854247e-18,"Zfp536"
"Utrn",1.53562314709408e-22,0.102269845856177,0.121,0.096,4.88174598461209e-18,"Utrn"
"Slc6a20a",2.6103892659062e-22,0.157677570302833,0.026,0.014,8.2984274763158e-18,"Slc6a20a"
"F3",3.81784895373952e-22,0.112531295977973,0.054,0.037,1.21369418239379e-17,"F3"
"Nkain2",4.61453563241938e-22,-0.128744472121628,0.791,0.817,1.46696087754612e-17,"Nkain2"
"Slc12a2",5.10932177067849e-22,-0.154433078582656,0.177,0.207,1.62425339089869e-17,"Slc12a2"
"Zfp804b",6.33315225803292e-22,0.141290318015681,0.235,0.202,2.01330910282867e-17,"Zfp804b"
"Kif13a",8.9400361173785e-22,-0.202212994431099,0.209,0.238,2.84203748171463e-17,"Kif13a"
"Dlc1",1.24618220434471e-21,0.122049848711197,0.243,0.211,3.96161322761185e-17,"Dlc1"
"Pak1",1.37636989978484e-21,-0.188340761957319,0.294,0.322,4.37547991141602e-17,"Pak1"
"Hsp90ab1",1.64914043240592e-21,-0.121291719068374,0.413,0.443,5.24261743461842e-17,"Hsp90ab1"
"Pde8a",1.91350680720432e-21,-0.178911549828961,0.114,0.139,6.08303814010252e-17,"Pde8a"
"Col8a1",4.86829933306655e-21,0.107395483075674,0.02,0.01,1.54763235798186e-16,"Col8a1"
"Bmp6",6.5464898415381e-21,0.116999825151952,0.024,0.013,2.08112912062496e-16,"Bmp6"
"Nwd1",1.06304272377983e-20,0.111498477329346,0.055,0.039,3.37941281889607e-16,"Nwd1"
"Cdh20",3.39653397910407e-20,-0.2133890546123,0.222,0.249,1.07975815195718e-15,"Cdh20"
"Mef2c",4.66353096746778e-20,0.116336006576415,0.419,0.385,1.48253649455801e-15,"Mef2c"
"Frmpd4",8.73154257684346e-20,0.111723846676134,0.58,0.547,2.77575738517854e-15,"Frmpd4"
"Clybl",1.4392998394936e-19,0.108048812331589,0.146,0.121,4.57553418975015e-15,"Clybl"
"Lhfp",1.76412851558183e-19,0.14483110375685,0.095,0.075,5.60816455103463e-15,"Lhfp"
"Creb5",1.92026570201556e-19,-0.149727898747202,0.078,0.099,6.10452466670748e-15,"Creb5"
"Sox6",2.31465962725513e-19,0.102603652685355,0.108,0.086,7.35830295504405e-15,"Sox6"
"Car2",2.39360289620714e-19,-0.146396201795693,0.193,0.222,7.60926360704249e-15,"Car2"
