"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene"
"D830024N08Rik",5.10716800905855e-19,-0.110480366168861,0.256,0.284,1.62356871007971e-14,"D830024N08Rik"
"Abcd2",6.23042469619444e-19,0.160230649955251,0.059,0.043,1.98065201092021e-14,"Abcd2"
"Sox10",9.05854428565358e-19,-0.126416575878611,0.075,0.096,2.87971122840927e-14,"Sox10"
"Hif1a",9.26036448942002e-19,0.154777862020787,0.128,0.104,2.94386987118662e-14,"Hif1a"
"Etv6",9.28898156370332e-19,0.152092569329621,0.188,0.16,2.95296723910128e-14,"Etv6"
"Abhd12",1.54014294245612e-18,0.188710665599891,0.309,0.276,4.896114414068e-14,"Abhd12"
"Cdk19",2.66248368828675e-18,-0.135461607835376,0.281,0.312,8.46403564506357e-14,"Cdk19"
"Tspan2",2.7909461634249e-18,-0.131705013714576,0.096,0.119,8.87241785352774e-14,"Tspan2"
"Myo1d",2.97959923964492e-18,-0.174240903398576,0.19,0.215,9.47214598283121e-14,"Myo1d"
"Ttyh2",2.98282919766906e-18,-0.138851528971952,0.076,0.097,9.48241401938993e-14,"Ttyh2"
"Ehd4",3.02007316142373e-18,0.103949768264994,0.035,0.022,9.60081258016605e-14,"Ehd4"
"Man1c1",4.0393131522623e-18,0.129843752111956,0.144,0.119,1.28409765110419e-13,"Man1c1"
"Il6ra",4.54680641332105e-18,0.102872906343227,0.06,0.043,1.44542975879476e-13,"Il6ra"
"Pard3",4.86352490369891e-18,-0.101372512503255,0.348,0.378,1.54611456688588e-13,"Pard3"
"Dixdc1",4.91981324017681e-18,-0.156542937370781,0.207,0.232,1.56400862905221e-13,"Dixdc1"
"Mitf",5.31950796835864e-18,0.173876138157412,0.251,0.221,1.69107158314121e-13,"Mitf"
"Cyfip1",7.31470540539036e-18,0.126427485894691,0.336,0.303,2.32534484837359e-13,"Cyfip1"
"Igf1",8.32094302656072e-18,0.152614556898526,0.037,0.025,2.64522778814365e-13,"Igf1"
"Gm32036",1.18487198956976e-17,-0.10228312080148,0.068,0.088,3.76670805484226e-13,"Gm32036"
"Skap2",1.32450613397825e-17,0.166475712368217,0.135,0.112,4.21060499991686e-13,"Skap2"
"A330049N07Rik",1.36146155420166e-17,-0.103455741147536,0.059,0.077,4.32808628080708e-13,"A330049N07Rik"
"Csrp1",2.025756184924e-17,-0.136668700401892,0.1,0.123,6.4398789118734e-13,"Csrp1"
"Gm28905",2.16702038811026e-17,-0.115029374054174,0.1,0.122,6.88895781380253e-13,"Gm28905"
"Cpm",2.41819969431613e-17,-0.11722302788536,0.053,0.07,7.68745682823098e-13,"Cpm"
"Gm9645",3.11025815386499e-17,-0.107686150533412,0.054,0.071,9.88751067113679e-13,"Gm9645"
"Serinc3",4.17586074722687e-17,0.11142136461897,0.177,0.15,1.32750613154342e-12,"Serinc3"
"Cobl",1.39798660775648e-16,-0.109536368432565,0.14,0.164,4.44419942605784e-12,"Cobl"
"Gm5086",2.21097405572577e-16,0.135411558709579,0.038,0.025,7.02868652315221e-12,"Gm5086"
"Fign",2.23549624321879e-16,-0.150962014371472,0.074,0.093,7.10664255719254e-12,"Fign"
"Ptbp3",2.57412231034882e-16,0.105143453257494,0.201,0.173,8.18313482459889e-12,"Ptbp3"
"Eya4",3.7587324902592e-16,0.126092563030352,0.057,0.042,1.1949010586534e-11,"Eya4"
"9630028H03Rik",3.79822207810518e-16,-0.119379567945186,0.341,0.364,1.20745479862964e-11,"9630028H03Rik"
"Gm15398",3.90997596480981e-16,-0.126395265102737,0.151,0.175,1.24298135921304e-11,"Gm15398"
"Znrf2",4.4198774504266e-16,0.110051378686428,0.12,0.099,1.40507904149062e-11,"Znrf2"
"Dpysl2",6.44650090218716e-16,-0.10802842150109,0.377,0.402,2.0493426368053e-11,"Dpysl2"
"Stat3",6.58539502119675e-16,0.101651822670265,0.112,0.091,2.09349707723845e-11,"Stat3"
"Hip1",7.03363019758447e-16,-0.120104870923674,0.171,0.196,2.2359910398121e-11,"Hip1"
"Mast4",7.93704869373885e-16,-0.109432308348694,0.6,0.62,2.52318777973958e-11,"Mast4"
"Colec12",8.01225590872818e-16,0.118176369230011,0.04,0.028,2.54709615338469e-11,"Colec12"
"Gm42756",8.04427567984192e-16,-0.105770435678677,0.046,0.061,2.55727523862175e-11,"Gm42756"
"Irak2",8.67393343916681e-16,0.143576327961933,0.075,0.058,2.75744344031113e-11,"Irak2"
"Dock11",8.91581373442083e-16,0.120000783998859,0.14,0.118,2.83433718617238e-11,"Dock11"
"Nkain1",1.01235932131497e-15,-0.141234045479424,0.073,0.091,3.21829028246029e-11,"Nkain1"
"Megf10",1.02372463403221e-15,-0.11999717684827,0.063,0.081,3.2544206115884e-11,"Megf10"
"A230009B12Rik",1.29169301359842e-15,-0.105092291434752,0.067,0.085,4.10629209022937e-11,"A230009B12Rik"
"Pantr1",1.91714652511336e-15,-0.107817960075867,0.137,0.159,6.09460880333537e-11,"Pantr1"
"Elk3",3.02359846571755e-15,0.13195178978548,0.091,0.073,9.61201952251608e-11,"Elk3"
"Chn2",3.03674323119938e-15,0.228729429086701,0.133,0.113,9.65380673198282e-11,"Chn2"
"Ppp1r16b",3.37082547444047e-15,-0.123382737073774,0.292,0.316,1.07158541832463e-10,"Ppp1r16b"
"Gm15283",4.47487883713049e-15,0.135935684969335,0.153,0.13,1.42256398232378e-10,"Gm15283"
"Anln",4.87414026523208e-15,-0.125137163355995,0.123,0.145,1.54948919031728e-10,"Anln"
"Nfe2l2",6.3541985086762e-15,0.105140576559359,0.054,0.04,2.01999970590816e-10,"Nfe2l2"
"Ppfibp2",8.56525141768638e-15,-0.102158601957304,0.063,0.08,2.7228934256825e-10,"Ppfibp2"
"Nnat",1.13291079296245e-14,0.119514000313101,0.32,0.29,3.60152341082761e-10,"Nnat"
"Daam2",1.19394842193452e-14,-0.112814252068407,0.128,0.15,3.79556203332983e-10,"Daam2"
"Ttll7",1.3531283764592e-14,-0.143158144808641,0.297,0.318,4.3015951087638e-10,"Ttll7"
"Usp12",1.58053491576221e-14,0.115058862269758,0.165,0.141,5.02452049720807e-10,"Usp12"
"Akap13",1.7225878020556e-14,0.105704328253202,0.207,0.182,5.47610662273475e-10,"Akap13"
"Capn3",1.88415190986483e-14,0.103805615271238,0.049,0.036,5.98971892146031e-10,"Capn3"
"Gns",1.96492239193516e-14,0.122880294359596,0.176,0.151,6.24648828396188e-10,"Gns"
"Gpcpd1",2.19334227818665e-14,0.105508512396648,0.27,0.241,6.97263510235536e-10,"Gpcpd1"
"Shisa4",2.22473440610813e-14,-0.13463821338098,0.262,0.284,7.07243067701773e-10,"Shisa4"
"Gm11149",2.36311769802043e-14,-0.127782122705912,0.282,0.304,7.51235116200693e-10,"Gm11149"
"Sept7",2.48735635236766e-14,-0.108536579228198,0.351,0.376,7.9073058441768e-10,"Sept7"
"Sytl2",3.22827126360562e-14,-0.130237703997168,0.091,0.109,1.02626743470023e-09,"Sytl2"
"Ophn1",4.16906622731289e-14,0.106919567270372,0.275,0.248,1.32534615366277e-09,"Ophn1"
"Gprc5b",4.31085444974539e-14,-0.152489285851475,0.103,0.121,1.37042062957406e-09,"Gprc5b"
"Ahcyl2",4.68716453683193e-14,0.111800343973837,0.53,0.507,1.49004960625887e-09,"Ahcyl2"
"Eml4",4.89830716759844e-14,0.112418671476667,0.302,0.273,1.55717184857954e-09,"Eml4"
"Srcin1",7.94509445634413e-14,-0.109968312111603,0.302,0.323,2.5257455276718e-09,"Srcin1"
"Cyth4",1.03681233508027e-13,0.107127707814571,0.054,0.04,3.29602641322019e-09,"Cyth4"
"Pros1",1.14624954914757e-13,0.108925144828188,0.053,0.04,3.64392731674011e-09,"Pros1"
"Arhgap17",1.22526810977616e-13,0.105555993947226,0.246,0.218,3.89512732097841e-09,"Arhgap17"
"Ints6l",1.61678249465279e-13,0.119942048912782,0.199,0.174,5.13975155050122e-09,"Ints6l"
"Lpcat2",1.71422977287207e-13,0.106914799666362,0.094,0.076,5.4495364479603e-09,"Lpcat2"
"St3gal6",2.57027528987237e-13,0.170123558051792,0.097,0.08,8.17090514650428e-09,"St3gal6"
